ID,COUNTRY_NAME,ISO_CODE,BIOME_NAME,BIOME_NUM,ECO_NAME,ECO_ID,AREA_HA,ages_1_10_mean,ages_11_20_mean,ages_21_30_mean,ages_31_40_mean,ages_41_50_mean,ages_51_60_mean,ages_61_70_mean,ages_71_80_mean,ages_81_90_mean,ages_91_100_mean,ages_1_10_stdDev,ages_11_20_stdDev,ages_21_30_stdDev,ages_31_40_stdDev,ages_41_50_stdDev,ages_51_60_stdDev,ages_61_70_stdDev,ages_71_80_stdDev,ages_81_90_stdDev,ages_91_100_stdDev,ages_1_10_median,ages_11_20_median,ages_21_30_median,ages_31_40_median,ages_41_50_median,ages_51_60_median,ages_61_70_median,ages_71_80_median,ages_81_90_median,ages_91_100_median,ages_1_10_min,ages_11_20_min,ages_21_30_min,ages_31_40_min,ages_41_50_min,ages_51_60_min,ages_61_70_min,ages_71_80_min,ages_81_90_min,ages_91_100_min,ages_1_10_max,ages_11_20_max,ages_21_30_max,ages_31_40_max,ages_41_50_max,ages_51_60_max,ages_61_70_max,ages_71_80_max,ages_81_90_max,ages_91_100_max,ages_1_10_p10,ages_11_20_p10,ages_21_30_p10,ages_31_40_p10,ages_41_50_p10,ages_51_60_p10,ages_61_70_p10,ages_71_80_p10,ages_81_90_p10,ages_91_100_p10,ages_1_10_p25,ages_11_20_p25,ages_21_30_p25,ages_31_40_p25,ages_41_50_p25,ages_51_60_p25,ages_61_70_p25,ages_71_80_p25,ages_81_90_p25,ages_91_100_p25,ages_1_10_p75,ages_11_20_p75,ages_21_30_p75,ages_31_40_p75,ages_41_50_p75,ages_51_60_p75,ages_61_70_p75,ages_71_80_p75,ages_81_90_p75,ages_91_100_p75,ages_1_10_p90,ages_11_20_p90,ages_21_30_p90,ages_31_40_p90,ages_41_50_p90,ages_51_60_p90,ages_61_70_p90,ages_71_80_p90,ages_81_90_p90,ages_91_100_p90
ABW_0,Aruba (Neth),533,Tropical & Subtropical Moist Broadleaf Forests,1,Cordillera Oriental montane forests,457,146.94075350490198,1.1181312886832273,1.184678463723647,1.190524455764531,1.152353958309633,1.0849971262572324,1.000394861111466,0.9075460933265886,0.812866638312165,0.7206890425444897,0.6337436045963727,0.00816905498504638,0.01617246866226196,0.02336275577545166,0.02916932106018066,0.03338569402694702,0.03604316711425781,0.03731250762939453,0.03742638230323791,0.03663292527198791,0.03516635298728943,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743
ABW_1,Aruba (Neth),533,Deserts & Xeric Shrublands,13,Caribbean shrublands,599,648.8379254411764,0.25714984937356067,0.2737424895167351,0.2840202387708884,0.28874073464136857,0.28874299503289735,0.2848647488997533,0.2778932268802936,0.2685391501738475,0.2574246651851214,0.24508194338816863,0.0111629445388867,0.01969031835964942,0.02724345801520773,0.03336974095075726,0.03804501017127819,0.04137229210990403,0.04350603779382686,0.04461871543275958,0.04488194408802856,0.04445728811116729,0.2604738622903824,0.27465127408504486,0.283848837018013,0.2876017689704895,0.2866428345441818,0.2819222956895828,0.2742963880300522,0.2644597440958023,0.2530137002468109,0.2404685020446777,0.2344062328338623,0.2390526831150055,0.2396306544542313,0.2368582785129547,0.2314099371433258,0.2238939255475998,0.2148429900407791,0.20471306145191193,0.1938854157924652,0.182673841714859,0.2729637622833252,0.3113481402397156,0.3435910642147064,0.3663521409034729,0.3804515898227692,0.3869693875312805,0.38707464933395386,0.3819221556186676,0.37258797883987427,0.3600398898124695,0.240431547164917,0.24822191894054413,0.2516326904296875,0.2510189116001129,0.24712304770946503,0.2406325340270996,0.2321612387895584,0.22224226593971252,0.21132811903953552,0.19979563355445865,0.2475496232509613,0.25629186630249023,0.2596619725227356,0.2589053213596344,0.254786878824234,0.2480136901140213,0.23921604454517365,0.2289414405822754,0.21765413880348208,0.20574016869068143,0.26808035373687744,0.29074200987815857,0.30372780561447144,0.3103909492492676,0.31173038482666016,0.3088320791721344,0.30230513215065,0.29295721650123596,0.281498521566391,0.2685394287109375,0.27060192823410034,0.2984146475791931,0.31883329153060913,0.3321467339992523,0.3386836051940918,0.33948174118995667,0.33556652069091797,0.3278577923774719,0.31721726059913635,0.30440083146095276
ABW_2,Aruba (Neth),533,Mangroves,14,Amazon-Orinoco-Southern Caribbean mangroves,611,3995.0668773529414,0.26074438476109807,0.2812743867877163,0.2947823465624942,0.3020385707480998,0.3039332133116601,0.3013750194937368,0.2952301990759524,0.2862883199807964,0.2752463886443573,0.2627041599229921,0.01010255614170894,0.01411514920602645,0.01810869146056744,0.02147748544424125,0.0240809885315279,0.02593035862619212,0.02709520471936836,0.02766717705894442,0.02774306577677267,0.02741591153399608,0.2597745880484581,0.2812818785508474,0.294462189078331,0.30184620767831805,0.30378711223602295,0.3014947324991226,0.2950525532166163,0.28615234792232513,0.2748779356479645,0.26251415014266966,0.2335762083530426,0.24094362556934357,0.243760347366333,0.2427648603916168,0.23867101967334747,0.23213739693164823,0.2237490713596344,0.21401318907737732,0.20335951447486875,0.1921444833278656,0.29438596963882446,0.3286415636539459,0.35346388816833496,0.36954402923583984,0.37788859009742737,0.3796308636665344,0.37591344118118286,0.3678159713745117,0.3563179075717926,0.34227943420410156,0.2497060845295588,0.2654916048049927,0.27272407710552216,0.2757243476808071,0.27415909618139267,0.2691128998994827,0.26121561725934345,0.25172385573387146,0.2398880496621132,0.2274994850158691,0.25472426414489746,0.2724032998085022,0.28232956926027936,0.28724085092544555,0.28748951024479336,0.28474579254786175,0.2786463379859924,0.2690400630235672,0.2582157105207443,0.24552096923192343,0.2647988349199295,0.28883248567581177,0.30647335946559906,0.31785764917731285,0.3230215277936723,0.3220270574092865,0.31589555740356445,0.3067581206560135,0.2964603801568349,0.28284163773059845,0.27412906289100647,0.30056047439575195,0.31806135177612305,0.32975058257579803,0.331704705953598,0.3316144049167633,0.3283993601799011,0.3207753896713257,0.3091666251420975,0.2955942153930664
AFG_0,Afghanistan,4,N/A,11,Rock and Ice,0,10769.813526446078,0.4265559479782853,0.5323362766376024,0.5741688925065572,0.5681014731526375,0.5319592799944214,0.47998297629477105,0.4220307606119144,0.36428286880254745,0.31024475112746036,0.2616320391999015,0.02412682986832257,0.062964279928527,0.08059432157259176,0.07959380699208805,0.06891556394832311,0.05575034521644712,0.0447343277466932,0.03807277676496023,0.03551057707644547,0.03519654675445261,0.4306694187223911,0.5221642355124155,0.5556108554204305,0.5479736775159836,0.5164428012711662,0.4677878469228745,0.4113071593973372,0.35654619868312565,0.30429897308349607,0.254908861219883,0.3251071572303772,0.3610043525695801,0.37637701630592346,0.3755552172660827,0.362947553396225,0.3424278199672699,0.3171328604221344,0.28945857286453247,0.2394489347934723,0.19571609795093536,0.47968223690986633,0.6874324083328247,0.7905176877975464,0.7976090312004089,0.7503188252449036,0.678811252117157,0.5949567556381226,0.5090053677558899,0.42781201004981995,0.370008647441864,0.3929002285003662,0.4564395099878311,0.48332238793373106,0.4873587687810262,0.4636068642139435,0.4265836079915365,0.38016051054000854,0.32456931471824646,0.2700437506039937,0.2204123189051946,0.41490922371546424,0.4894046485424042,0.5233518868684769,0.5182068467140197,0.4914315988620122,0.44606127093235654,0.3965569217999776,0.3386979512870312,0.2834979146718979,0.23579755052924156,0.4417950332164765,0.5695214867591858,0.6193602681159973,0.6056918054819107,0.5529573733607929,0.4910164432866233,0.4366879363854726,0.384580800930659,0.33470354974269867,0.28356761733690894,0.453348733484745,0.6242124736309052,0.6896515488624573,0.6819656689961752,0.6258177161216736,0.5677379965782166,0.48537667592366535,0.41439075767993927,0.3645462095737457,0.3140512506167094
AFG_1,Afghanistan,4,Temperate Conifer Forests,5,Western Himalayan subalpine conifer forests,310,10814.218639534316,0.4634100191451453,0.5586240395799383,0.6132783887686429,0.6333242686061592,0.6270015008382864,0.6022539212778731,0.5657418540099284,0.5226226701186254,0.4766689029398498,0.4305054522477664,0.07623445517582587,0.11534282012497932,0.13620023834104053,0.14040078914945003,0.1327238601745106,0.11799091240521928,0.10014853166080229,0.08214529402556899,0.06610302766083707,0.05352650496278418,0.4920401175816854,0.5809074938297272,0.6345811247825622,0.6409252285957336,0.6350075304508209,0.6034305393695831,0.5624509751796722,0.5226616859436035,0.4796048626303673,0.43234097212553024,0.25046321749687195,0.272951602935791,0.2882702350616455,0.29714053869247437,0.30043402314186096,0.29906073212623596,0.29389849305152893,0.2857559323310852,0.2699114680290222,0.25255680084228516,0.563358724117279,0.7526979446411133,0.8717249631881714,0.9081114530563354,0.8891018033027649,0.8370262384414673,0.7678848505020142,0.6884405016899109,0.6105125546455383,0.5497369766235352,0.34312771260738373,0.3903162479400635,0.4245216846466065,0.44320811331272125,0.4564197063446045,0.4582342654466629,0.4541247338056564,0.43649283051490784,0.4115123748779297,0.3718035146594047,0.4221767783164978,0.4792972207069397,0.5207549631595612,0.5373963117599487,0.5350803136825562,0.5217595994472504,0.49899303913116455,0.471399986743927,0.43860892951488495,0.4031666304383959,0.5238475629261562,0.6552320520083109,0.7246507207552592,0.7401075065135956,0.7306941151618958,0.6895886063575745,0.6380681097507477,0.5715530316034952,0.5123418966929117,0.4620275914669037,0.5366293549537658,0.690648635228475,0.7787960271040598,0.8099874496459961,0.7992005348205566,0.7587422430515289,0.7018385827541351,0.6364942391713461,0.5694778561592102,0.5026519894599915
AFG_2,Afghanistan,4,Temperate Conifer Forests,5,East Afghan montane conifer forests,694,296309.73707889684,0.233343829517283,0.2689780548286571,0.2894487970399452,0.29668960653532084,0.2936745833906689,0.2833533352688788,0.26823845096629706,0.25030315202092673,0.23101433138681413,0.21141452352826956,0.14944572462052144,0.2030862140159081,0.2361609689151432,0.24971935849292012,0.24826057702714488,0.23661545005245396,0.21885686963962575,0.19804923970025293,0.17632767406928218,0.15508110152598886,0.15424202817879365,0.15822519596267795,0.15866998382314235,0.15665736042575917,0.15427545166862797,0.15019785265647928,0.14239611309618289,0.13853251948243095,0.130577978685157,0.12280481181254511,0.07482919842004776,0.08329111337661743,0.08639852702617645,0.08779914677143097,0.08775854110717773,0.083812616765499115,0.07917246967554092,0.0744251236319542,0.06966600567102432,0.06496934592723846,0.598421573638916,0.8179444074630737,0.962876319885254,1.028448224067688,1.0316259860992432,0.9980754852294922,0.9379730224609376,0.8824569582939148,0.8188648223876953,0.7498852014541626,0.1034485015387092,0.10739649113181024,0.11133241187781096,0.11141438187505098,0.10762685494647344,0.10710931997646622,0.1033825134415002,0.0996614303288421,0.09566540736062772,0.08795571375744683,0.11919509700867308,0.12302969810140284,0.1232375312151399,0.12322769668318476,0.12291852368104504,0.11899736934999154,0.11516146135424007,0.11128457636533384,0.10356489424980105,0.09948294338191556,0.32607045451800026,0.36503670583753023,0.38485877502423066,0.3922252150682302,0.38872929524492333,0.3768855892121792,0.3574692839384079,0.3378170145054658,0.3144168422139924,0.28713995531985637,0.509704477804944,0.6584413360666346,0.7402077544303167,0.7716595894760556,0.7638504803180695,0.7245473403197068,0.6779432469798673,0.6227447879620087,0.5607358985222303,0.4981518279761076
AFG_3,Afghanistan,4,"Temperate Grasslands, Savannas & Shrublands",8,Gissaro-Alai open woodlands,730,148501.7274212255,0.3907597850644022,0.4890263018147074,0.5385151539406611,0.5481211319770439,0.5301285789179324,0.49535383261276467,0.4519163860322396,0.4053740401474287,0.359261006757837,0.3156526648092898,0.1008046868516572,0.16151747078219245,0.19248717902757517,0.19562521409333597,0.18090812384620125,0.15735680171528765,0.1313172726848955,0.10668609565648636,0.08556873383723441,0.06887483287185679,0.43056057227982414,0.5215177098910014,0.5684065520763397,0.5761563117439682,0.5604239702224731,0.5296203511602738,0.49048869756230135,0.43942804916484934,0.38366137470229195,0.32915852731093764,0.10670995712280272,0.1079033613204956,0.10741863399744034,0.105571411550045,0.10265221446752548,0.09891915321350098,0.09459557384252548,0.08987069129943848,0.08490161597728729,0.07981619983911514,0.5730029344558716,0.749911904335022,0.8614307045936584,0.8744872808456421,0.8377906084060669,0.7768766283988953,0.6972339749336243,0.6110595464706421,0.5321468114852905,0.4821311831474304,0.2317183535723459,0.24837791518523145,0.255571954307102,0.2600151876608531,0.25975554129656625,0.25600945949554443,0.25193041111483716,0.24025546697278816,0.22756012715399265,0.21381607013089315,0.3271321886115604,0.3649600048859914,0.3848846779634689,0.3925268176544453,0.3890162758205248,0.3765517433484395,0.36132925003767014,0.3418483779980586,0.3172996260903098,0.2880158470227168,0.46387151663119974,0.6308292140040481,0.7088048601150513,0.720865181514195,0.6895205348730087,0.6349411775816732,0.560514256065967,0.4863401422133812,0.4189570965110392,0.36241491322648034,0.49112272873902935,0.6779555785655975,0.7793911743808437,0.7912438715759077,0.7482815092685176,0.6740034214437824,0.591774718761444,0.5177282361607802,0.44628036586014,0.3875973695202878
AFG_4,Afghanistan,4,Montane Grasslands & Shrublands,10,Ghorat-Hazarajat alpine meadow,752,1581126.616523897,0.23829774645540713,0.2655212968322822,0.2817037714720881,0.28823736631680025,0.2870345543300474,0.28000615784626537,0.26883826721303783,0.25492121609457147,0.23935150179394377,0.22296491426014295,0.1060783441520298,0.14205343303105994,0.16480220630312858,0.17467057933951455,0.1744198277636393,0.16715119254566216,0.15554806460232198,0.1416748855803461,0.12700295279224807,0.11251426199217315,0.21288709479703008,0.22457831319173177,0.23039379847811997,0.23809316972285396,0.23821892711020173,0.23038943370862563,0.22847225236379215,0.21675787419318393,0.20896654329299927,0.1972193806084062,0.06607377529144287,0.06759972870349884,0.06781995296478271,0.06688704341650009,0.06522788852453232,0.06301114708185196,0.06038396432995796,0.05747153609991073,0.05437860637903213,0.05119061470031738,0.6677207350730896,1.0182360410690308,1.2303051948547363,1.287215232849121,1.2372980117797852,1.1261613368988037,1.023878812789917,0.9448398351669312,0.8759502172470093,0.8014217615127563,0.12308480956766148,0.12700611200329628,0.12945883915700426,0.1295364604630257,0.12909490856806827,0.12901225586245263,0.12310389342488548,0.11524474057061372,0.1113566027808517,0.10356332703878585,0.1660466102872847,0.16983457094906895,0.1758551189646671,0.17571367986146286,0.1759117476026172,0.16781414330597952,0.16203064649505952,0.1581787905877156,0.15033433745795316,0.14248584015566168,0.2949436827414278,0.32614319951187637,0.3476906645812416,0.35556238387699624,0.35556684863153976,0.34768449312376193,0.3339683355609323,0.3183733954220205,0.29888507607491205,0.27934369613175036,0.38084305966566057,0.4395490853410018,0.4724528465969154,0.4881971617016876,0.4803710323739722,0.4647852704058975,0.4393748974379821,0.40822486481851056,0.3730587527490316,0.3417291961218181
AFG_5,Afghanistan,4,Montane Grasslands & Shrublands,10,Hindu Kush alpine meadow,753,1279153.9100539936,0.4751326193640932,0.6237460989913972,0.7082824725598648,0.7371196420261034,0.7249479418567096,0.6859118343308802,0.6313712563720689,0.5696088730822719,0.5062539516086034,0.44488462415903945,0.08331405582115753,0.14682815676331262,0.1877097130311711,0.20449619472205385,0.20421561853654008,0.19377015720443283,0.17822703008379903,0.16084874364128535,0.1435401951386598,0.12729929325885425,0.48632832627913675,0.6581859405126794,0.753711303104117,0.7772902410054944,0.7538753331907644,0.6992413942524464,0.6268856433571363,0.5605849461121992,0.4980811257329252,0.4394763319580643,0.14156098663806915,0.14743146300315857,0.1477644443511963,0.14603567123413086,0.14266085624694824,0.13801464438438416,0.13242502510547638,0.126172736287117,0.11949224770069122,0.11257686465978622,0.6571134924888611,1.0308712720870972,1.2357293367385864,1.2808395624160769,1.2191722393035889,1.1454356908798218,1.0780394077301023,0.9962501525878906,0.9243472814559937,0.84979248046875,0.3652867289485445,0.40424059090160186,0.4255966770399303,0.4336421474112266,0.425938946923407,0.41011398683473904,0.3847069852757004,0.36126428058272914,0.33008352839029753,0.2949986313374675,0.43552681427769074,0.5370440264822731,0.58995583342382,0.6056120335359981,0.5976053942298268,0.5667421965275781,0.5215579560462464,0.4667217273657259,0.4041892902375503,0.3496086735599088,0.5292606912669363,0.7206690565745035,0.839657016313834,0.871025019549694,0.8632848506624048,0.8243168228202395,0.7636444986502895,0.6895478838368466,0.6113016650483415,0.5370989825879159,0.5720963951923864,0.7871334046125412,0.9254889429740186,0.9804089494453844,0.98050819337368,0.9334547476670176,0.8653631957271432,0.7830764372224752,0.6973380299714895,0.6151932811489995
AFG_6,Afghanistan,4,Montane Grasslands & Shrublands,10,Karakoram-West Tibetan Plateau alpine steppe,754,139135.43809213248,0.38834393889309304,0.47082656334861617,0.5042068857492211,0.5004562220787152,0.47278727928222153,0.4319212325133035,0.3854570971631792,0.3383116980637102,0.29340242008058426,0.25227165447510697,0.06311512855854053,0.10749720311634872,0.1274676497246298,0.12683752546590826,0.11413487000777477,0.09650648768818294,0.07877188970596839,0.06375334358637894,0.05274832173930664,0.04581528615302385,0.4053364473840465,0.4785218385132876,0.5060890763998032,0.4981155319952629,0.4628742945955155,0.4277909689251034,0.3809448113275129,0.33122056286509444,0.2842505936439221,0.24318248459271025,0.15977199375629425,0.16397428512573242,0.1648855209350586,0.16334958374500275,0.1598948985338211,0.15494871139526367,0.14888659119606018,0.14203110337257385,0.13465309143066406,0.12697657942771912,0.4966216385364533,0.7228347659111023,0.8386718034744263,0.8601892590522766,0.8237660527229309,0.7499297857284546,0.6592985391616821,0.5669711828231812,0.48214131593704224,0.4131280779838562,0.28991517225901287,0.31838698812893457,0.33003997087478637,0.33009636943990533,0.32237203336424297,0.3068117839949472,0.287071547235351,0.26464548462727033,0.23534575205396965,0.2022298859698432,0.35252100229263306,0.4004572520130559,0.42388688524564105,0.4234358940805707,0.4043902126343354,0.3731200041679236,0.3301420558405959,0.2899322635597653,0.2510410325752722,0.21785172394343785,0.4326814142862956,0.5332642189443928,0.567775730903332,0.5606605844064192,0.5255586284658184,0.4786198501403515,0.4276384048058953,0.3760696340884481,0.3270476398796871,0.2804056606862856,0.4578691631555557,0.6157155930995941,0.6815931972335366,0.6702888650553567,0.6189861476421357,0.5569330738938373,0.4879404796908299,0.42089845184926633,0.36816789553715634,0.3172554629189627
