ID,COUNTRY_NAME,ISO_CODE,AREA_HA,ages_1_20_mean,ages_21_40_mean,ages_41_60_mean,ages_61_80_mean,ages_81_100_mean,ages_1_20_stdDev,ages_21_40_stdDev,ages_41_60_stdDev,ages_61_80_stdDev,ages_81_100_stdDev,ages_1_20_median,ages_21_40_median,ages_41_60_median,ages_61_80_median,ages_81_100_median,ages_1_20_min,ages_21_40_min,ages_41_60_min,ages_61_80_min,ages_81_100_min,ages_1_20_max,ages_21_40_max,ages_41_60_max,ages_61_80_max,ages_81_100_max,ages_1_20_p10,ages_21_40_p10,ages_41_60_p10,ages_61_80_p10,ages_81_100_p10,ages_1_20_p25,ages_21_40_p25,ages_41_60_p25,ages_61_80_p25,ages_81_100_p25,ages_1_20_p75,ages_21_40_p75,ages_41_60_p75,ages_61_80_p75,ages_81_100_p75,ages_1_20_p90,ages_21_40_p90,ages_41_60_p90,ages_61_80_p90,ages_81_100_p90
ABW,Aruba (Neth),533,146.94075350490198,1.1514048364149962,1.1714391870648448,1.0426959738681454,0.8602063559112749,0.6772163235704312,0.01217079162597656,0.02626609802246093,0.03471440076828003,0.03736943006515503,0.03589963912963867,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886
AFG,Afghanistan,4,1299804.8128437458,0.2559024785957015,0.299094874205521,0.29446448450077395,0.26446951774214095,0.22545448144384683,0.17821646805370148,0.2454325725418479,0.24471446775627215,0.210360587960258,0.1672628462872354,0.15811864444438148,0.16267055500554675,0.15420798540855787,0.14239738529087395,0.130887970328331,0.08076068758964539,0.08709883689880371,0.08601973205804825,0.07679879665374756,0.06731767952442169,0.705247163772583,0.995662271976471,1.0140409469604492,0.9088844060897828,0.784375011920929,0.10742421005091636,0.11121926949228216,0.10717905517761132,0.09974839418494792,0.0918068842277494,0.1191819734985692,0.12324346601963045,0.11918176558646933,0.1113381127871634,0.09962059109160004,0.3570835454897447,0.40426783195950766,0.4003614501373188,0.3652866820494334,0.31456558868802825,0.5917109160099999,0.7602426840199364,0.7482538792220029,0.6503935150611095,0.5292225500632977
AGO,Angola,24,1141932.2766937534,0.9509462067816672,0.9959994056338414,0.8960554464694743,0.7471306771447098,0.5982172128545945,0.17074185083658083,0.15469756214908428,0.08718326488934773,0.05059568523434903,0.0727922335362058,0.9159192740917206,0.9941180209780848,0.9286323748528956,0.7548866737069506,0.6064403729235872,0.6631739139556885,0.6933301687240601,0.6584879755973816,0.5840776562690735,0.4221120774745941,1.3108172416687012,1.308753252029419,1.092116117477417,0.8846880197525024,0.7887264490127563,0.7480757245793939,0.783376028140386,0.7491363770252949,0.6787703105660735,0.4970402166359406,0.7908849146828723,0.8535458158563685,0.8447891899517604,0.7157775936704693,0.5361654826852141,1.095799299577872,1.1267986591951349,0.9619531823484688,0.7880465890422012,0.6532420070116757,1.2088250952462356,1.2051625425165349,0.9775452772776286,0.8075896979075426,0.6864877709423203
AIA,Anguilla (UK),660,283.3755625,0.39505816499392193,0.40781423449516296,0.3964498539765676,0.3698171277840932,0.3349091211954753,0.00748152750429024,0.00969190772879195,0.01071823400202445,0.01085396259208064,0.01039630308877349,0.3955136239528656,0.40926533937454224,0.39849773049354553,0.3721453547477722,0.33729344606399536,0.38567596673965454,0.3952852785587311,0.3824191689491272,0.35551348328590393,0.3211526870727539,0.4039849042892456,0.4188920855522156,0.40843266248703,0.3817925453186035,0.3462812304496765,0.38567596673965454,0.3952852785587311,0.3824191689491272,0.35551348328590393,0.3211526870727539,0.38567596673965454,0.3952852785587311,0.3824191689491272,0.35551348328590393,0.3211526870727539,0.4039849042892456,0.4188920855522156,0.40843266248703,0.3817925453186035,0.3462812304496765,0.4039849042892456,0.4188920855522156,0.40843266248703,0.3817925453186035,0.3462812304496765
ALB,Albania,8,2859827.17379523,0.9815999843053178,1.1319910882084594,0.9579342940911796,0.7097625533894126,0.4925195491448564,0.09376748440367536,0.15114147519465795,0.15828852754603623,0.15110287910667272,0.13561484630214413,0.9902648215909158,1.1369526948470736,0.9433204522107376,0.6777143539214621,0.4589869819099912,0.6868231892585754,0.769545316696167,0.6739336848258972,0.4244244694709778,0.2336515486240387,1.4506627321243286,1.9018653631210327,1.6037088632583618,1.3696467876434326,1.1026713848114014,0.8497020885688771,0.925733200922375,0.7597103988736625,0.5488144494255504,0.3614135918827752,0.9238878709355784,1.0274018047029203,0.8377936152049473,0.5996409451803774,0.396545325871557,1.044971394177639,1.230494299509847,1.060447043247437,0.7872317189075908,0.5449268113846747,1.084061938343626,1.300698879512513,1.1425541822205891,0.9122427701950072,0.6892738673422072
AM,NA,NA,1590154.2281996368,0.5331118040421393,0.6739739675714665,0.5988528507038147,0.45915027901986194,0.32781747439067005,0.09723855252679586,0.14632030574140387,0.1198862907415056,0.08241880365747431,0.05823340814565771,0.5331146088261433,0.6972136657262585,0.619088157585689,0.46670403775464686,0.32520750672870896,0.14911989867687225,0.1511334925889969,0.14490516483783722,0.13385216891765594,0.12034960091114044,0.7963981032371521,1.0269445180892944,0.8328460454940796,0.6524858474731445,0.5223067998886108,0.40454892384803903,0.454871248524144,0.42793077663067847,0.36157896184752175,0.2569025545053079,0.4943217182237851,0.6073475812302261,0.537165170824024,0.4082348116642826,0.2919431517661457,0.5996058663276777,0.7792075190876351,0.6854846032543315,0.51367677377932,0.36228322376192146,0.6465252974094489,0.8339347947334897,0.7324480311792405,0.5605393804122354,0.4052376608053843
AND,Andorra,20,48051.82283066188,1.214707585761425,1.438197633184524,1.207863513526156,0.8763749186208615,0.5909638520488415,0.08362801486131687,0.1259605923877475,0.10771790777174632,0.08410593781159353,0.06618183410767878,1.2243137227164371,1.462492473423481,1.2366454750299454,0.8975317060947419,0.6004750629266103,0.8244493007659912,0.9113851189613342,0.830938458442688,0.6367956399917603,0.38089102506637573,1.4115753173828125,1.719496488571167,1.3747745752334597,1.043439269065857,0.7578901052474976,1.1076557636260986,1.248172926902771,1.0181665420532229,0.7273093163967133,0.4895334243774414,1.181868118899209,1.3961023092269895,1.190615564584732,0.848389732837677,0.5572706659634908,1.2645906925201416,1.516976128021876,1.2755212187767029,0.9307643324136734,0.6317337927544279,1.3064297884702682,1.5681586980819702,1.3182206551233928,0.9595066706339518,0.667404294013977
ANT,Netherlands [Caribbean],530,2086.7344812499996,0.4829517657106573,0.4998880651864139,0.4868343309922652,0.4547059075398879,0.41216550361026416,0.02978250651136062,0.0326698523100336,0.03313499306920087,0.03186102030054063,0.02950330109309393,0.4715383648872375,0.48780597746372223,0.4748542308807373,0.4433497935533523,0.4018138349056244,0.44615769386291504,0.46288809180259705,0.44896936416625977,0.41800814867019653,0.3780221939086914,0.556518018245697,0.5757871866226196,0.5605857968330383,0.5234801173210144,0.4744325578212738,0.4526422619819641,0.4644896984100342,0.45150431990623474,0.4221151471138001,0.3819056451320648,0.4651743769645691,0.4793108105659485,0.4644351005554199,0.43206652998924255,0.3905104696750641,0.4938352704048157,0.5124660730361938,0.4985352456569672,0.4671812057495117,0.4248584806919098,0.5364443063735962,0.5615383386611938,0.5500262379646301,0.5145959854125977,0.4670270085334778
ARE,United Arab Emirates,784,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,Argentina,32,14670873.009731667,0.8674647222569594,0.9975188673579786,0.8794463402272028,0.6943528090204515,0.5226856663153372,0.35224801018942486,0.4427006724206319,0.3457691078042573,0.21995488462878351,0.1345947782428473,0.8319992196621354,0.9139830710804012,0.8354085814627037,0.675820828766314,0.5038715957747218,0.10279399156570436,0.13697147369384766,0.1466519832611084,0.13969767093658447,0.12844383716583252,1.7408528327941897,2.8402018547058105,2.530470132827759,1.9128364324569704,1.4113506078720093,0.3788637902544833,0.4453824005650552,0.4451285529977236,0.4335204374714383,0.3868783052160364,0.6054507077896034,0.6798627911803452,0.6483158409193598,0.5820964159093042,0.4492674130923543,1.1914151040230982,1.320473265305958,1.0544539715808172,0.7694499086750071,0.5820287091442313,1.3556348887993108,1.476258146762848,1.2731791671953705,0.949200043255843,0.6836137675909271
