ID,COUNTRY_NAME,ISO_CODE,AREA_HA,ages_1_20_mean,ages_21_40_mean,ages_41_60_mean,ages_61_80_mean,ages_81_100_mean,ages_1_20_stdDev,ages_21_40_stdDev,ages_41_60_stdDev,ages_61_80_stdDev,ages_81_100_stdDev,ages_1_20_median,ages_21_40_median,ages_41_60_median,ages_61_80_median,ages_81_100_median,ages_1_20_min,ages_21_40_min,ages_41_60_min,ages_61_80_min,ages_81_100_min,ages_1_20_max,ages_21_40_max,ages_41_60_max,ages_61_80_max,ages_81_100_max,ages_1_20_p10,ages_21_40_p10,ages_41_60_p10,ages_61_80_p10,ages_81_100_p10,ages_1_20_p25,ages_21_40_p25,ages_41_60_p25,ages_61_80_p25,ages_81_100_p25,ages_1_20_p75,ages_21_40_p75,ages_41_60_p75,ages_61_80_p75,ages_81_100_p75,ages_1_20_p90,ages_21_40_p90,ages_41_60_p90,ages_61_80_p90,ages_81_100_p90
ABW,Aruba (Neth),533,18486.267703504887,0.2772639907063223,0.3037335130883551,0.3064095000471169,0.2929361820227696,0.269851443548317,0.09096834043761944,0.09252935153684302,0.08163683544904742,0.0669065937181135,0.05296675432698865,0.27119374467480567,0.29893061965703965,0.3023435715585947,0.29083126144749777,0.26740584274133045,0.2367294579744339,0.2382444590330124,0.2276519238948822,0.20977802574634552,0.1882796287536621,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886,0.2563038638659886,0.26715636253356934,0.26401134580373764,0.2478639595210552,0.22552064806222916,0.2640557512640953,0.2838914529843764,0.28681552197252,0.27181432396173477,0.25164806492188396,0.2749955952167511,0.31068048377831775,0.32304487029711404,0.310721823147365,0.2900899002949397,0.286566612975938,0.32536764939626056,0.33508050441741943,0.32549232989549637,0.3032786905765533
AFG,Afghanistan,4,64066667.327077776,0.16965046895003127,0.19958639384303356,0.20005659089735495,0.18452706397300356,0.16253363355086123,0.1465589595958154,0.19061742617808777,0.18335719858750432,0.15346427817866615,0.11977189611245938,0.1073446819929256,0.12106613648057012,0.12086845328143074,0.1192233697050972,0.1117909359006446,0.05578591302037239,0.06311988830566406,0.05974876880645752,0.05468706041574478,0.04883800819516182,0.8477843999862671,1.261017918586731,1.1898595094680786,1.0371447801589966,0.8870698809623718,0.06861352108823336,0.09022866292177371,0.08923883933124646,0.08719258265934812,0.08398143688484423,0.0759076581197047,0.09713855737358124,0.10554533057499443,0.09942219825821325,0.09567801995438711,0.18943977878034596,0.1992858175101605,0.1992365110613944,0.18951728437829685,0.16993925436853743,0.4082188734816687,0.46484588723103426,0.4492577001929951,0.3886957064623161,0.3261763586400493
AGO,Angola,24,124961214.9981077,0.6668471843338366,0.6869060331910538,0.6311953825900247,0.5443945636886086,0.4522235805470594,0.26395833231789406,0.25706493776234246,0.21438789056224303,0.16831541906124603,0.13138955547078424,0.7304955595339956,0.7618143586868165,0.6914123346085561,0.5800844194262129,0.4629121395937991,0.1738712191581726,0.1765386313199997,0.16615347564220428,0.15144796669483185,0.13483348488807678,1.758811116218567,1.7701019048690796,1.3596899509429932,1.1379873752593994,1.092283010482788,0.27722124660159614,0.2931462010267123,0.28495443050685954,0.2675031965901685,0.24019283077060516,0.4257221387033124,0.4570670670495843,0.44933689500017265,0.41605764050552935,0.3612969079711319,0.8554691930698312,0.8710445564643092,0.8008207709645737,0.6855391676829206,0.5644647122867557,0.9804175830792938,0.9725811746600872,0.8553333160446048,0.7324107663928081,0.6152279109613599
AIA,Anguilla (UK),660,6022.54097977941,0.3802144110448453,0.39251424909173327,0.3815948788487301,0.35597389566668086,0.322382608008769,0.01471171945223853,0.01728750105341412,0.01831933610853477,0.01813323203177727,0.01713150997176734,0.3772055208683014,0.3900138735771179,0.37890568375587463,0.3538585603237152,0.3205176293849945,0.3535434603691101,0.3596668243408203,0.3462134003639221,0.32070818543434143,0.28895464539527893,0.4311753809452057,0.4530433118343353,0.4456337094306946,0.41914159059524536,0.38186225295066833,0.36442524194717407,0.3745033144950866,0.3616848886013031,0.3358246684074402,0.3031178414821625,0.3711132109165192,0.3812999129295349,0.36963900923728943,0.34423866868019104,0.3113689422607422,0.3870486915111542,0.4003602862358093,0.39041298627853394,0.3656744956970215,0.33086758852005005,0.396710067987442,0.4138127863407135,0.4044005870819092,0.37992793321609497,0.3454999029636383
ALB,Albania,8,2875381.3379952298,0.980890036186114,1.1310476953232194,0.9574626143835608,0.7097750522707134,0.4928248726539615,0.09434224247253488,0.1515501505580043,0.1581754235960801,0.15083102800398607,0.13543742980554763,0.990263136504086,1.1369540431848977,0.9433276337084784,0.6777045708668383,0.45898348499428143,0.6868231892585754,0.769545316696167,0.6739336848258972,0.4244244694709778,0.2336515486240387,1.4506627321243286,1.9018653631210327,1.6037088632583618,1.3696467876434326,1.1026713848114014,0.8497016856571293,0.9257381935914356,0.7597186933475661,0.5488144494255504,0.3614135918827752,0.9238827387183828,1.0274018047029203,0.8377978158268061,0.5996415829075906,0.396545325871557,1.044971394177639,1.230494299509847,1.060447043247437,0.7830416315891704,0.5449206290450999,1.084061938343626,1.300698879512513,1.1425541822205891,0.9122427701950072,0.6856542080640793
AM,NA,NA,2931093.5652463157,0.46998754180003965,0.5885848594182399,0.5224723109611661,0.4027322218455213,0.29101684767055713,0.15690810770395458,0.22079353296103965,0.181728948594125,0.1216102251278431,0.07491665769396894,0.5176035722226618,0.6543612078914429,0.576162450874553,0.4356041505260575,0.29980974340998034,0.12698927521705627,0.13166657090187073,0.12829351425170898,0.1198684424161911,0.10867371410131454,0.8065022230148315,1.0269445180892944,0.8328460454940796,0.6524858474731445,0.5223067998886108,0.16985689739481025,0.18931117970257305,0.1930997744922477,0.18952682975451557,0.17474608956757237,0.4004203503526102,0.44720414245829865,0.4082078192352264,0.33017099599043526,0.24325094399403552,0.5800131106470513,0.7597690087641585,0.6660361988721667,0.490167601214932,0.3407839219637063,0.626929815895006,0.8222485348390407,0.7128745017206283,0.5370411410118444,0.3817922472953797
AND,Andorra,20,48051.82283066188,1.214707585761425,1.438197633184524,1.207863513526156,0.8763749186208615,0.5909638520488415,0.08362801486131687,0.1259605923877475,0.10771790777174632,0.08410593781159353,0.06618183410767878,1.2243137227164371,1.462492473423481,1.2366454750299454,0.8975317060947419,0.6004750629266103,0.8244493007659912,0.9113851189613342,0.830938458442688,0.6367956399917603,0.38089102506637573,1.4115753173828125,1.719496488571167,1.3747745752334597,1.043439269065857,0.7578901052474976,1.1076557636260986,1.248172926902771,1.0181665420532229,0.7273093163967133,0.4895334243774414,1.181868118899209,1.3961023092269895,1.190615564584732,0.848389732837677,0.5572706659634908,1.2645906925201416,1.516976128021876,1.2755212187767029,0.9307643324136734,0.6317337927544279,1.3064297884702682,1.5681586980819702,1.3182206551233928,0.9595066706339518,0.667404294013977
ANT,Netherlands [Caribbean],530,28256.91757124993,0.34654118416122826,0.3609785692313355,0.35290286687564143,0.33037215900421624,0.29985847229262574,0.0811355745535568,0.08502330053635304,0.08336165705922695,0.07799845126437004,0.07057516940287921,0.3192457322563444,0.33096042573451995,0.321371591091156,0.299730621278286,0.2725881814956665,0.26548007130622864,0.26520615816116333,0.25212806463241577,0.23148655891418457,0.20720405876636505,0.6798869967460632,0.7052486538887024,0.6778632998466492,0.6197301149368286,0.5473051071166992,0.2960566058754921,0.30590246617794037,0.29364011287689207,0.2723593016465505,0.24542759731411937,0.30773199456078665,0.31494535671340096,0.30577466121086705,0.28423241443104214,0.25674367221918976,0.3327731154859066,0.3544734716415405,0.3566664457321167,0.33886151015758514,0.30967120826244354,0.4715383648872375,0.4860734343528747,0.473496526479721,0.4423236846923828,0.40099143981933594
ARE,United Arab Emirates,784,7162990.889619155,0.07420368016064587,0.12503989290430265,0.16031900336057275,0.17825078149737603,0.1819128834320497,0.02017393083170203,0.0186876089032697,0.01721592349703234,0.01668226162466979,0.01644641427936568,0.06688575474163973,0.11963611145917552,0.15719699496898143,0.17696009337062354,0.1834703908969582,0.04765885323286056,0.0976947620511055,0.11262301355600356,0.11549831926822662,0.11115346103906631,0.27646294236183167,0.33314400911331177,0.3623592257499695,0.38202229142189026,0.3855258822441101,0.05813764787473774,0.11183685196889874,0.1474608882295408,0.16881401257040418,0.1753311668988089,0.06201558649216009,0.114763402419688,0.1534149123513214,0.1747955066479434,0.17938129093854957,0.08057374766028545,0.1254678535832666,0.16102007504178104,0.17854206350734178,0.1834703908969582,0.10397667349931204,0.1508738436226575,0.1785963985465822,0.1922713120182722,0.19174110439377204
ARG,Argentina,32,276220386.1839069,0.35562255997608383,0.4107681407160364,0.4032665090938817,0.3663047019175491,0.31933564026108957,0.25696359393135426,0.2840528008965778,0.2351127663096086,0.1734494803053055,0.1251935639450972,0.2771773535451699,0.3360547262815727,0.35201224439286727,0.34787388137029585,0.32427333213817006,0.02960175462067127,0.07905484735965729,0.08712123334407806,0.08583302795886993,0.08040817081928253,1.7408528327941897,2.8402018547058105,2.530470132827759,1.9128364324569704,1.4113506078720093,0.11314016334201124,0.14877743898145623,0.1644010040297284,0.16857487352157757,0.16015938899882895,0.1758303363204074,0.21057062452308323,0.22607079849057488,0.21461489607741752,0.20702676432569544,0.4648597145853556,0.5235006734325206,0.5232754864142054,0.48044812944289966,0.40236022541552485,0.7148151812784106,0.7734108936695034,0.6950314598854478,0.5897353185365687,0.4804567164552157
