ID,COUNTRY_NAME,ISO_CODE,AREA_HA,ages_1_10_mean,ages_11_20_mean,ages_21_30_mean,ages_31_40_mean,ages_41_50_mean,ages_51_60_mean,ages_61_70_mean,ages_71_80_mean,ages_81_90_mean,ages_91_100_mean,ages_1_10_stdDev,ages_11_20_stdDev,ages_21_30_stdDev,ages_31_40_stdDev,ages_41_50_stdDev,ages_51_60_stdDev,ages_61_70_stdDev,ages_71_80_stdDev,ages_81_90_stdDev,ages_91_100_stdDev,ages_1_10_median,ages_11_20_median,ages_21_30_median,ages_31_40_median,ages_41_50_median,ages_51_60_median,ages_61_70_median,ages_71_80_median,ages_81_90_median,ages_91_100_median,ages_1_10_min,ages_11_20_min,ages_21_30_min,ages_31_40_min,ages_41_50_min,ages_51_60_min,ages_61_70_min,ages_71_80_min,ages_81_90_min,ages_91_100_min,ages_1_10_max,ages_11_20_max,ages_21_30_max,ages_31_40_max,ages_41_50_max,ages_51_60_max,ages_61_70_max,ages_71_80_max,ages_81_90_max,ages_91_100_max,ages_1_10_p10,ages_11_20_p10,ages_21_30_p10,ages_31_40_p10,ages_41_50_p10,ages_51_60_p10,ages_61_70_p10,ages_71_80_p10,ages_81_90_p10,ages_91_100_p10,ages_1_10_p25,ages_11_20_p25,ages_21_30_p25,ages_31_40_p25,ages_41_50_p25,ages_51_60_p25,ages_61_70_p25,ages_71_80_p25,ages_81_90_p25,ages_91_100_p25,ages_1_10_p75,ages_11_20_p75,ages_21_30_p75,ages_31_40_p75,ages_41_50_p75,ages_51_60_p75,ages_61_70_p75,ages_71_80_p75,ages_81_90_p75,ages_91_100_p75,ages_1_10_p90,ages_11_20_p90,ages_21_30_p90,ages_31_40_p90,ages_41_50_p90,ages_51_60_p90,ages_61_70_p90,ages_71_80_p90,ages_81_90_p90,ages_91_100_p90
ABW,Aruba (Neth),533,146.94075350490198,1.1181312886832273,1.184678463723647,1.190524455764531,1.152353958309633,1.0849971262572324,1.000394861111466,0.9075460933265886,0.812866638312165,0.7206890425444897,0.6337436045963727,0.00816905498504638,0.01617246866226196,0.02336275577545166,0.02916932106018066,0.03338569402694702,0.03604316711425781,0.03731250762939453,0.03742638230323791,0.03663292527198791,0.03516635298728943,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743
AFG,Afghanistan,4,1299804.8128437456,0.23754179622862465,0.2742631608410896,0.2953576437436844,0.30283210451619746,0.2997567256893813,0.2891722434989778,0.2736669295467793,0.25527210584100724,0.2354967358441427,0.2154122270891842,0.1515939726846263,0.20551659769243885,0.23868677333439947,0.2522134576953139,0.25064014513571375,0.23883281547126223,0.2208910860590514,0.19989841904681135,0.1780025066791713,0.15659970590550729,0.15424202817879365,0.16213111201786015,0.16270792101110731,0.15854213356971739,0.15826275543919924,0.15415072280772124,0.14631507653485304,0.13853251948243095,0.1346914314740413,0.12690157230411256,0.07482919842004776,0.08329111337661743,0.08639852702617645,0.08779914677143097,0.08775854110717773,0.083812616765499115,0.07917246967554092,0.0744251236319542,0.06966600567102432,0.06496934592723846,0.598421573638916,0.8179444074630737,0.962876319885254,1.028448224067688,1.0316259860992432,0.9980754852294922,0.9379730224609376,0.8824569582939148,0.8188648223876953,0.7498852014541626,0.1034485015387092,0.10739649113181024,0.11133241187781096,0.11141438187505098,0.10762685494647344,0.10710931997646622,0.1033825134415002,0.0996614303288421,0.09566540736062772,0.08795571375744683,0.11919509700867308,0.12302969810140284,0.1232375312151399,0.12322769668318476,0.12291852368104504,0.11899736934999154,0.11516146135424007,0.11128457636533384,0.10356489424980105,0.09948294338191556,0.33401304605888993,0.3767576648720673,0.4002764592779443,0.4081828508112166,0.4041963314756434,0.39235680028796194,0.37695713146873144,0.3534347216288249,0.32632723689079285,0.29865489276972684,0.5097111112682532,0.662264834432041,0.7446860611438751,0.7753050997853279,0.7672147924701372,0.7285327544579139,0.6779903639107943,0.6228535359814054,0.5608013196425005,0.4981476261121471
AGO,Angola,24,1141932.2766937532,0.911414687608272,0.990477726448714,1.0085984369373469,0.9834003735109756,0.9304248138274896,0.8616860792335999,0.7857766359881625,0.7084847181892949,0.6334861939940907,0.5629482314530048,0.16149108936730552,0.18113838824158313,0.16974494496473694,0.14032888268748772,0.10454675162032712,0.07202265166737327,0.05278776391443855,0.0538048056413213,0.06642134291962197,0.08008872247236079,0.8728603434562683,0.959006917697412,0.9942031523822684,0.990038215286202,0.9561638540151168,0.8935428617500034,0.7978626561164855,0.7157937050644868,0.6415851958866777,0.5732780229754564,0.6221282482147217,0.6983451843261719,0.698138415813446,0.6885219812393188,0.6714324951171875,0.6453292965888977,0.6066776514053345,0.5599372982978821,0.468801885843277,0.3754222989082336,1.2540488243103027,1.3755844831466677,1.360359787940979,1.2571465969085691,1.1416747570037842,1.0425574779510498,0.9332054257392884,0.8624099493026733,0.8139926791191101,0.7652301788330078,0.7205394496602461,0.7716049950407899,0.7873040549047701,0.7791296876966953,0.7607330617805322,0.7373227840516625,0.7062320184707641,0.6357340388827853,0.5439347436553553,0.4483564566482197,0.7713142578483473,0.814301427723705,0.84565827280584,0.8614700318507429,0.8564887087453495,0.8311449465426531,0.7627967589356927,0.6631284710819736,0.5751781441816469,0.4950234540871212,1.0485744056878266,1.1465003788471222,1.1543676628256745,1.1036813612711631,1.0146439741819333,0.9111435263445884,0.8251906370187735,0.7509498201685844,0.6864395301882961,0.6240740227249434,1.1580944518710292,1.2596357170192676,1.2481157966688567,1.166082528921274,1.0419613557346796,0.9228405573883572,0.8388268237418317,0.778277860469177,0.7159641298015466,0.6611126642073354
AIA,Anguilla (UK),660,283.3755625,0.38809584577878314,0.4020204842090606,0.4080899258454641,0.4075385332107544,0.4015755951404571,0.3913241128126781,0.3777891099452973,0.36184513568878174,0.34423599640528363,0.32558224598566693,0.00676713009628267,0.00820046178355505,0.00930012269076057,0.010084699510098,0.01058796128542239,0.01084883764059249,0.01090722366907033,0.01080082923093689,0.01056443943563078,0.01022822354046417,0.3882485330104828,0.4027787148952484,0.4093450605869293,0.4091855883598328,0.4035181999206543,0.3934772610664368,0.380079448223114,0.3642112612724304,0.3466276228427887,0.32795923948287964,0.3797325491905213,0.39161938428878784,0.3961240649223328,0.394446462392807,0.38774633407592773,0.3770919740200043,0.3634334504604339,0.3475934863090515,0.3302682936191559,0.31203708052635193,0.39630645513534546,0.41166335344314575,0.4188006520271301,0.4189835488796234,0.41346225142478943,0.403403103351593,0.38985443115234375,0.3737306594848633,0.35581207275390625,0.33675041794776917,0.3797325491905213,0.39161938428878784,0.3961240649223328,0.394446462392807,0.38774633407592773,0.3770919740200043,0.3634334504604339,0.3475934863090515,0.3302682936191559,0.31203708052635193,0.3797325491905213,0.39161938428878784,0.3961240649223328,0.394446462392807,0.38774633407592773,0.3770919740200043,0.3634334504604339,0.3475934863090515,0.3302682936191559,0.31203708052635193,0.39630645513534546,0.41166335344314575,0.4188006520271301,0.4189835488796234,0.41346225142478943,0.403403103351593,0.38985443115234375,0.3737306594848633,0.35581207275390625,0.33675041794776917,0.39630645513534546,0.41166335344314575,0.4188006520271301,0.4189835488796234,0.41346225142478943,0.403403103351593,0.38985443115234375,0.3737306594848633,0.35581207275390625,0.33675041794776917
ALB,Albania,8,2859827.1737952298,0.8770494699285196,1.0861504985568664,1.1504323021496867,1.113549873768977,1.0185580825896914,0.8973105060470171,0.7702834652713471,0.6492416416724277,0.5400650251769313,0.4449740731323917,0.08103619574007706,0.11734766152512809,0.14620943813381332,0.15749322199352697,0.15973730314426754,0.15818063675934066,0.1543786915176968,0.14847168841052713,0.14053891265678903,0.1309372567789985,0.8808259669281496,1.0956666349944937,1.160150315356471,1.1132885760165454,1.0098551950235477,0.8770441357589843,0.7402153917144055,0.615298534021145,0.5057999626688674,0.4120685971385735,0.6309950947761536,0.7426513433456421,0.7779467701911926,0.7611438632011414,0.7206684350967407,0.6252790689468384,0.4847402572631836,0.3641086518764496,0.26961785554885864,0.19768524169921875,1.2029427289962769,1.714881420135498,1.9200150966644287,1.8837156295776367,1.712935209274292,1.5491584539413452,1.4358974695205688,1.303396224975586,1.167101263999939,1.0385353565216064,0.7676339959802706,0.9198986270930618,0.9492133611923258,0.9022958428805112,0.8144518304541408,0.7050245775276398,0.5996379263890095,0.4941315804067896,0.40037071228855187,0.3222513748332858,0.8223243680771036,1.0137459793566173,1.0508054379193064,1.0039856632231865,0.9003968084836803,0.7793526449760834,0.654278501376365,0.5409867183236051,0.4393448574064619,0.353529930030914,0.9315645134282384,1.1659292595386506,1.246057341013418,1.2226459382231845,1.1269520421156147,0.994162376957758,0.8535782621791032,0.71667517587094,0.5996426597297916,0.49412054823549,0.9745035638475116,1.2168010065430088,1.3163205284798871,1.292789585167362,1.201013876262464,1.0918804022826647,0.9707413028953666,0.8535089729068516,0.7400972507101424,0.6348219519679986
AM,NA,NA,1590154.2281996373,0.45722046728077254,0.6090031407639874,0.6744576157002169,0.6734903194898466,0.6309155878461206,0.5667901136875004,0.4948375509418117,0.423463006862084,0.3572672189491481,0.2983677296693783,0.07387357824877505,0.12416565100468392,0.1472989157091299,0.14556273325838148,0.13019598475214053,0.11015341360881556,0.09083489199174956,0.07482432514029341,0.06281769426429602,0.05437478003748595,0.45505653461339945,0.6230691114493779,0.697227890502679,0.7011749263928861,0.6542489232031952,0.5878352229054092,0.5059032677607949,0.4287603826399343,0.35642018090855254,0.2958379022221067,0.14730048179626465,0.15093931555747986,0.1518600881099701,0.1504068821668625,0.14719466865062714,0.1426156461238861,0.13701510429382324,0.13068923354148865,0.12388668209314346,0.11681251227855682,0.6608571410179138,0.9452618360519408,1.0445218086242676,1.0162618160247805,0.9032865762710572,0.7693048715591431,0.6908308267593384,0.6199007034301758,0.5545867681503296,0.491476833820343,0.37709820237788527,0.4317891167269813,0.45509672639044846,0.4586824482801009,0.4431983451798277,0.41596663227448094,0.3808364927768707,0.33499018183673723,0.2803098721019292,0.2334585337727158,0.4238665185233419,0.5566179307929257,0.607340367917482,0.6034833231279927,0.5644679921340212,0.5058401141235297,0.4434100738535189,0.3779136017884737,0.319387961179018,0.26268476746260483,0.5059280461278455,0.6933322403439132,0.7792783564690388,0.7793302917332383,0.7284014822969099,0.6463678234501888,0.5565617411855668,0.4735727862720072,0.39554001734806943,0.33104783840801405,0.5487196772937247,0.7519013416022062,0.8378769621368527,0.8339535773564608,0.7756474585456644,0.6933590854614231,0.603594984628458,0.5166276976466179,0.4384820945937224,0.3700724594089963
AND,Andorra,20,48051.82283066188,1.0655239262353904,1.363891243880905,1.4607509891938075,1.4156442781799221,1.2891834550209549,1.126543571015214,0.9566881855566466,0.796061649139167,0.652659793397648,0.5292679125723955,0.06151749175064132,0.10811604834122215,0.12706039888466786,0.12552295616820974,0.11468703769037146,0.1016662697282953,0.08960835700588496,0.07924628553133062,0.07030807088890512,0.06235096943244597,1.071319087346395,1.381096601486206,1.486789517932468,1.443086948435395,1.318400642451118,1.155200680096944,0.981367528438568,0.8151482289487665,0.6650776565074921,0.5367238521575928,0.7722290754318237,0.8766695261001587,0.9162514805793762,0.9065187573432922,0.8630247116088867,0.7988521456718445,0.7087157964706421,0.5593792200088501,0.43183326721191406,0.3299488127231598,1.2288522720336914,1.6123228073120115,1.7557882070541382,1.6832048892974854,1.4917023181915283,1.2915332317352295,1.1257972717285156,0.961081326007843,0.8202922940254211,0.69548797607421875,0.9855069220066072,1.2257502377033234,1.278790682554245,1.220345139503479,1.0957523924963817,0.9467320889234544,0.7960280179977417,0.6595658659934998,0.540012514591217,0.4380940794944763,1.0437843667136295,1.321830729643504,1.411330017679222,1.380784233411153,1.267633318901062,1.1047047573529858,0.9328758239746092,0.7664385437965393,0.6194019516309103,0.49543116538781673,1.1004591630055354,1.4276480674743652,1.5410743735053325,1.4977808323773472,1.3617446983561796,1.1902376924242293,1.0168384194374085,0.8485352121866666,0.6961741064276014,0.5692466752869743,1.1313708782196046,1.482447013258934,1.595617413520813,1.541069848196847,1.4036056654793876,1.2259713888168335,1.0441196411848068,0.880129893620809,0.7310131937265396,0.6003760693059845
ANT,Netherlands [Caribbean],530,2086.7344812499996,0.4740384668111801,0.49186506596478546,0.49995560402219946,0.4998205141587691,0.4929472235116092,0.4807214466008274,0.4643862437118184,0.4450255659493534,0.42356266487728467,0.40076834098859265,0.02872859686553191,0.03085982059433735,0.03228569920881111,0.03306255823408263,0.03327141869615768,0.03300207561576353,0.03234380342865013,0.03137978450604174,0.03018449590721214,0.02882282690972563,0.4629168063402176,0.4801599085330963,0.4879252016544342,0.48789510130882263,0.48092441260814667,0.46878404915332794,0.4528069496154785,0.433892622590065,0.41293707489967346,0.3906906098127365,0.4375977516174317,0.4547176361083984,0.4627334475517273,0.4624020457267761,0.455025851726532,0.4429128766059875,0.4271879196166992,0.40882834792137146,0.3886629045009613,0.3673772811889648,0.5463196635246277,0.5667163729667664,0.5759153366088867,0.5756589770317078,0.5676593780517578,0.5535122156143188,0.5346479415893555,0.5123122930526733,0.4875671267509461,0.4612979888916016,0.44549560546875,0.45978888869285583,0.4653603434562683,0.4636190533638001,0.4570283889770508,0.4459802508354187,0.4310594499111175,0.4128994047641754,0.3926195204257965,0.3711917996406555,0.4570508897304535,0.4734751582145691,0.47992077469825745,0.47870081663131714,0.4708076417446137,0.4580625593662262,0.4416269361972809,0.4225061535835266,0.4015510678291321,0.3794698715209961,0.4834654927253723,0.504205048084259,0.5126979947090149,0.512234091758728,0.5049142837524414,0.492570698261261,0.4766883850097656,0.45767688751220703,0.4363099932670593,0.41340693831443787,0.5246661305427551,0.548222541809082,0.5603491067886353,0.5627275705337524,0.5566591024398804,0.5433933138847351,0.5253679156303406,0.5038240551948547,0.47981852293014526,0.4542354643344879
ARE,United Arab Emirates,784,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,Argentina,32,14670873.00973167,0.7857748019533781,0.9491546425961548,1.006963161078189,0.9880745737718736,0.9232049240851,0.8356877562968911,0.7408638164508109,0.647841801524999,0.56146930759218,0.4839020251075915,0.3036796499138747,0.411517853959337,0.4530602848676314,0.433561026994048,0.3794959215228864,0.313094763792436,0.2484230103174036,0.19305805193393025,0.15037541603751067,0.12104966438439754,0.777336090865157,0.8828454015232512,0.9140412217222944,0.9139604930636248,0.8670920729845117,0.8044686935529811,0.7226320760553229,0.6210679159561391,0.5350977106763645,0.46482708756407254,0.09149212390184402,0.11409585177898408,0.132109135389328,0.1418338119983673,0.1476404219865799,0.1456635445356369,0.14209428429603577,0.13730105757713318,0.13160566985607147,0.12528200447559357,1.4306082725524902,2.259800434112549,2.7973945140838623,2.883009195327759,2.6879844665527344,2.372955799102783,2.0411880016326904,1.78448486328125,1.529972791671753,1.2969329357147217,0.35553711392485937,0.3985410478408362,0.429768972547779,0.4453590265943376,0.4454011354074424,0.44514463168998575,0.44143376041966154,0.42573412628563784,0.4023361211939002,0.3555700107534809,0.5585106791806047,0.6488202369608586,0.6800461310658438,0.6796203135211044,0.6641515009591114,0.6327867233276367,0.6054298378704612,0.5508951465536531,0.480544980151629,0.410218421125965,1.0195595818775731,1.304557585174171,1.3515594956404788,1.2892330501825755,1.1481864188649789,0.9762749266407136,0.831972359785086,0.7225976092298657,0.6289573666686132,0.5430443946784996,1.222718819318646,1.4917878102310034,1.5229591113505978,1.444550397544946,1.3516959569073128,1.1953274753444638,1.0350527233361864,0.8710820300371519,0.7381920979064117,0.6367025692223616
