ID,COUNTRY_NAME,ISO_CODE,BIOME_NAME,BIOME_NUM,AREA_HA,ages_1_10_mean,ages_11_20_mean,ages_21_30_mean,ages_31_40_mean,ages_41_50_mean,ages_51_60_mean,ages_61_70_mean,ages_71_80_mean,ages_81_90_mean,ages_91_100_mean,ages_1_10_stdDev,ages_11_20_stdDev,ages_21_30_stdDev,ages_31_40_stdDev,ages_41_50_stdDev,ages_51_60_stdDev,ages_61_70_stdDev,ages_71_80_stdDev,ages_81_90_stdDev,ages_91_100_stdDev,ages_1_10_median,ages_11_20_median,ages_21_30_median,ages_31_40_median,ages_41_50_median,ages_51_60_median,ages_61_70_median,ages_71_80_median,ages_81_90_median,ages_91_100_median,ages_1_10_min,ages_11_20_min,ages_21_30_min,ages_31_40_min,ages_41_50_min,ages_51_60_min,ages_61_70_min,ages_71_80_min,ages_81_90_min,ages_91_100_min,ages_1_10_max,ages_11_20_max,ages_21_30_max,ages_31_40_max,ages_41_50_max,ages_51_60_max,ages_61_70_max,ages_71_80_max,ages_81_90_max,ages_91_100_max,ages_1_10_p10,ages_11_20_p10,ages_21_30_p10,ages_31_40_p10,ages_41_50_p10,ages_51_60_p10,ages_61_70_p10,ages_71_80_p10,ages_81_90_p10,ages_91_100_p10,ages_1_10_p25,ages_11_20_p25,ages_21_30_p25,ages_31_40_p25,ages_41_50_p25,ages_51_60_p25,ages_61_70_p25,ages_71_80_p25,ages_81_90_p25,ages_91_100_p25,ages_1_10_p75,ages_11_20_p75,ages_21_30_p75,ages_31_40_p75,ages_41_50_p75,ages_51_60_p75,ages_61_70_p75,ages_71_80_p75,ages_81_90_p75,ages_91_100_p75,ages_1_10_p90,ages_11_20_p90,ages_21_30_p90,ages_31_40_p90,ages_41_50_p90,ages_51_60_p90,ages_61_70_p90,ages_71_80_p90,ages_81_90_p90,ages_91_100_p90
ABW_0,Aruba (Neth),533,Tropical & Subtropical Moist Broadleaf Forests,1,146.94075350490198,1.1181312886832273,1.184678463723647,1.190524455764531,1.152353958309633,1.0849971262572324,1.000394861111466,0.9075460933265886,0.812866638312165,0.7206890425444897,0.6337436045963727,0.00816905498504638,0.01617246866226196,0.02336275577545166,0.02916932106018066,0.03338569402694702,0.03604316711425781,0.03731250762939453,0.03742638230323791,0.03663292527198791,0.03516635298728943,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.1126995086669922,1.1739250421524048,1.1749900579452517,1.1329586505889893,1.062798261642456,0.9764289855957032,0.8827362060546875,0.7879810333251953,0.6963310241699219,0.6103607416152954,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743,1.129037618637085,1.2062699794769287,1.2217155694961548,1.1912972927093506,1.12956964969635,1.0485153198242188,0.9573612213134766,0.8628337979316711,0.7695968747138977,0.6806934475898743
ABW_1,Aruba (Neth),533,Montane Grasslands & Shrublands,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW_2,Aruba (Neth),533,Deserts & Xeric Shrublands,13,648.8379254411764,0.25714984937356067,0.2737424895167351,0.2840202387708884,0.28874073464136857,0.28874299503289735,0.2848647488997533,0.2778932268802936,0.2685391501738475,0.2574246651851214,0.24508194338816863,0.0111629445388867,0.01969031835964942,0.02724345801520773,0.03336974095075726,0.03804501017127819,0.04137229210990403,0.04350603779382686,0.04461871543275958,0.04488194408802856,0.04445728811116729,0.2604738622903824,0.27465127408504486,0.283848837018013,0.2876017689704895,0.2866428345441818,0.2819222956895828,0.2742963880300522,0.2644597440958023,0.2530137002468109,0.2404685020446777,0.2344062328338623,0.2390526831150055,0.2396306544542313,0.2368582785129547,0.2314099371433258,0.2238939255475998,0.2148429900407791,0.20471306145191193,0.1938854157924652,0.182673841714859,0.2729637622833252,0.3113481402397156,0.3435910642147064,0.3663521409034729,0.3804515898227692,0.3869693875312805,0.38707464933395386,0.3819221556186676,0.37258797883987427,0.3600398898124695,0.240431547164917,0.24822191894054413,0.2516326904296875,0.2510189116001129,0.24712304770946503,0.2406325340270996,0.2321612387895584,0.22224226593971252,0.21132811903953552,0.19979563355445865,0.2475496232509613,0.25629186630249023,0.2596619725227356,0.2589053213596344,0.254786878824234,0.2480136901140213,0.23921604454517365,0.2289414405822754,0.21765413880348208,0.20574016869068143,0.26808035373687744,0.29074200987815857,0.30372780561447144,0.3103909492492676,0.31173038482666016,0.3088320791721344,0.30230513215065,0.29295721650123596,0.281498521566391,0.2685394287109375,0.27060192823410034,0.2984146475791931,0.31883329153060913,0.3321467339992523,0.3386836051940918,0.33948174118995667,0.33556652069091797,0.3278577923774719,0.31721726059913635,0.30440083146095276
ABW_3,Aruba (Neth),533,Mangroves,14,3995.0668773529414,0.26074438476109807,0.2812743867877163,0.2947823465624942,0.3020385707480998,0.3039332133116601,0.3013750194937368,0.2952301990759524,0.2862883199807964,0.2752463886443573,0.2627041599229921,0.01010255614170894,0.01411514920602645,0.01810869146056744,0.02147748544424125,0.0240809885315279,0.02593035862619212,0.02709520471936836,0.02766717705894442,0.02774306577677267,0.02741591153399608,0.2597745880484581,0.2812818785508474,0.294462189078331,0.30184620767831805,0.30378711223602295,0.3014947324991226,0.2950525532166163,0.28615234792232513,0.2748779356479645,0.26251415014266966,0.2335762083530426,0.24094362556934357,0.243760347366333,0.2427648603916168,0.23867101967334747,0.23213739693164823,0.2237490713596344,0.21401318907737732,0.20335951447486875,0.1921444833278656,0.29438596963882446,0.3286415636539459,0.35346388816833496,0.36954402923583984,0.37788859009742737,0.3796308636665344,0.37591344118118286,0.3678159713745117,0.3563179075717926,0.34227943420410156,0.2497060845295588,0.2654916048049927,0.27272407710552216,0.2757243476808071,0.27415909618139267,0.2691128998994827,0.26121561725934345,0.25172385573387146,0.2398880496621132,0.2274994850158691,0.25472426414489746,0.2724032998085022,0.28232956926027936,0.28724085092544555,0.28748951024479336,0.28474579254786175,0.2786463379859924,0.2690400630235672,0.2582157105207443,0.24552096923192343,0.2647988349199295,0.28883248567581177,0.30647335946559906,0.31785764917731285,0.3230215277936723,0.3220270574092865,0.31589555740356445,0.3067581206560135,0.2964603801568349,0.28284163773059845,0.27412906289100647,0.30056047439575195,0.31806135177612305,0.32975058257579803,0.331704705953598,0.3316144049167633,0.3283993601799011,0.3207753896713257,0.3091666251420975,0.2955942153930664
ABW_4,Aruba (Neth),533,Tropical & Subtropical Dry Broadleaf Forests,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG_0,Afghanistan,4,Montane Grasslands & Shrublands,10,3322689.743022203,0.3099165395276282,0.37315828874550694,0.4084671542274013,0.4199299551495553,0.4137059630314177,0.39560527125074735,0.37031073500049577,0.34129119894770366,0.3109685455195879,0.2809470301201623,0.1458607901683652,0.2131299265424466,0.25285164998938714,0.26690999615392735,0.26233448463677883,0.24606335025351672,0.2235237252762575,0.1985142573072982,0.17348915439190477,0.14990923049760313,0.2871487164990394,0.3183423782197329,0.33200124771639344,0.3398042235809194,0.3398915071490759,0.3321284134581407,0.3164434721552194,0.29490110026855093,0.27150508953361446,0.24804717729984496,0.05437346547842026,0.06670345366001129,0.06781995296478271,0.06688704341650009,0.06522788852453232,0.06301114708185196,0.06038396432995796,0.05747153609991073,0.05437860637903213,0.05119061470031738,0.6677207350730896,1.0308712720870972,1.2357293367385864,1.287215232849121,1.2372980117797852,1.1454356908798218,1.0780394077301023,0.9962501525878906,0.9243472814559937,0.84979248046875,0.13082959140367048,0.13487626352966658,0.13730755078542156,0.13729176935395207,0.13694356822798812,0.1368215623650982,0.12904732187034745,0.12313482773372496,0.11917405028091094,0.11136090256069474,0.18558385798936736,0.1973335485905409,0.2069876241831132,0.2070415110294781,0.20693063137770745,0.1993910367389163,0.1915934761132345,0.1894403448883663,0.1816137914683434,0.1699486215146848,0.4355406340594603,0.5370231376918453,0.5820853151917801,0.5977195093715052,0.5821267492161811,0.5506924689843737,0.5118784399210722,0.4628787017733602,0.4082413076678203,0.3573398904884673,0.5136994842578526,0.6972930795928967,0.808599264538409,0.8397966237882009,0.8240107878660544,0.7851950178798447,0.7225594686434555,0.6543997563421726,0.5840570466531502,0.5175996351866953
AFG_1,Afghanistan,4,N/A,11,10769.813526446078,0.4265559479782853,0.5323362766376024,0.5741688925065572,0.5681014731526375,0.5319592799944214,0.47998297629477105,0.4220307606119144,0.36428286880254745,0.31024475112746036,0.2616320391999015,0.0241268298683221,0.062964279928527,0.08059432157259176,0.07959380699208805,0.06891556394832311,0.05575034521644712,0.04473432774669294,0.03807277676496053,0.03551057707644547,0.03519654675445261,0.4306694187223911,0.5221642355124155,0.5556108554204305,0.5479736775159836,0.5164428012711662,0.4677878469228745,0.4113071593973372,0.35654619868312565,0.30429897308349607,0.254908861219883,0.3251071572303772,0.3610043525695801,0.37637701630592346,0.3755552172660827,0.362947553396225,0.3424278199672699,0.3171328604221344,0.28945857286453247,0.2394489347934723,0.19571609795093536,0.47968223690986633,0.6874324083328247,0.7905176877975464,0.7976090312004089,0.7503188252449036,0.678811252117157,0.5949567556381226,0.5090053677558899,0.42781201004981995,0.370008647441864,0.3929002285003662,0.4564395099878311,0.48332238793373106,0.4873587687810262,0.4636068642139435,0.4265836079915365,0.38016051054000854,0.32456931471824646,0.2700437506039937,0.2204123189051946,0.41490922371546424,0.4894046485424042,0.5233518868684769,0.5182068467140197,0.4914315988620122,0.44606127093235654,0.3965569217999776,0.3386979512870312,0.2834979146718979,0.23579755052924156,0.4417950332164765,0.5695214867591858,0.6193602681159973,0.6056918054819107,0.5529573733607929,0.4910164432866233,0.4366879363854726,0.384580800930659,0.33470354974269867,0.28356761733690894,0.453348733484745,0.6242124736309052,0.6896515488624573,0.6819656689961752,0.6258177161216736,0.5677379965782166,0.48537667592366535,0.41439075767993927,0.3645462095737457,0.3140512506167094
AFG_2,Afghanistan,4,Deserts & Xeric Shrublands,13,6193515.564340736,0.1211743186952071,0.1362794858098127,0.14609480972850605,0.15121687959680383,0.1525018645454807,0.15080825779629473,0.14689612190825913,0.14139858967006735,0.13482472615567126,0.12757432186104853,0.0916013338899988,0.11174971220530724,0.1230999017529987,0.12604469173393756,0.12274719482779778,0.11546420683770742,0.10601431355108308,0.09569837892750414,0.08537301255305049,0.07555816686870843,0.0918398366678959,0.09957994891805635,0.10537226927200818,0.10491658642712665,0.112499869791907,0.11271067202815392,0.11158626616455872,0.11136692824896834,0.10688736753959116,0.10313657881947716,0.04387892410159111,0.06339007616043091,0.06366326659917831,0.06257651001214981,0.06085262447595596,0.05864491313695907,0.05608599260449409,0.05328812450170517,0.05034458637237549,0.04733143001794815,0.6867926120758057,1.0339850187301636,1.2385516166687012,1.2837302684783936,1.234469652175903,1.145249366760254,1.0385220050811768,0.95303076505661,0.8813773989677429,0.804165244102478,0.06458579283880671,0.07631813667011074,0.08214344791422933,0.09023120789855855,0.08912889214079445,0.08953639852910981,0.08740760229104823,0.08475541940757207,0.08365352903042757,0.08011945469533356,0.06823381689483941,0.07992778322872313,0.08973185488573208,0.09794421435659316,0.09750544278456272,0.09780115638285217,0.0996605529146599,0.09538245175201844,0.09166908172024314,0.08787846783113268,0.12689552052115885,0.13867073397018548,0.14473042507738298,0.144460615532787,0.14469841042991877,0.1524991710401571,0.1468362577328253,0.1425239405159877,0.1385839325811056,0.13078651938837768,0.2128506849390747,0.2245584128559261,0.23044622552238012,0.23813722048138009,0.2380730449075437,0.23035519828628817,0.22063950334818624,0.2128103502018534,0.20114767630954364,0.18941916267425
AFG_3,Afghanistan,4,Tropical & Subtropical Coniferous Forests,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG_4,Afghanistan,4,Temperate Broadleaf & Mixed Forests,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
