ID,COUNTRY_NAME,ISO_CODE,BIOME_NAME,BIOME_NUM,AREA_HA,ages_1_20_mean,ages_21_40_mean,ages_41_60_mean,ages_61_80_mean,ages_81_100_mean,ages_1_20_stdDev,ages_21_40_stdDev,ages_41_60_stdDev,ages_61_80_stdDev,ages_81_100_stdDev,ages_1_20_median,ages_21_40_median,ages_41_60_median,ages_61_80_median,ages_81_100_median,ages_1_20_min,ages_21_40_min,ages_41_60_min,ages_61_80_min,ages_81_100_min,ages_1_20_max,ages_21_40_max,ages_41_60_max,ages_61_80_max,ages_81_100_max,ages_1_20_p10,ages_21_40_p10,ages_41_60_p10,ages_61_80_p10,ages_81_100_p10,ages_1_20_p25,ages_21_40_p25,ages_41_60_p25,ages_61_80_p25,ages_81_100_p25,ages_1_20_p75,ages_21_40_p75,ages_41_60_p75,ages_61_80_p75,ages_81_100_p75,ages_1_20_p90,ages_21_40_p90,ages_41_60_p90,ages_61_80_p90,ages_81_100_p90
ABW_0,Aruba (Neth),533,Tropical & Subtropical Moist Broadleaf Forests,1,146.94075350490198,1.1514048364149962,1.1714391870648448,1.0426959738681454,0.8602063559112749,0.6772163235704312,0.01217079162597656,0.02626609802246093,0.03471440076828003,0.03736943006515503,0.03589963912963867,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886
ABW_1,Aruba (Neth),533,Montane Grasslands & Shrublands,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW_2,Aruba (Neth),533,Deserts & Xeric Shrublands,13,669.3870360539215,0.26544617116451263,0.28638048527332455,0.28680387368569005,0.2732161913926785,0.2512533051463274,0.01530386810215065,0.030297401231149,0.03970653765914823,0.04406167543811098,0.04466933659160464,0.2671319246292114,0.28572529554367065,0.2842825651168823,0.26937806606292725,0.24674110114574432,0.2367294579744339,0.2382444590330124,0.2276519238948822,0.20977802574634552,0.1882796287536621,0.2903363108634949,0.35497158765792847,0.3837104737758637,0.3844984173774719,0.3663139343261719,0.244123175740242,0.251325786113739,0.24387779831886292,0.22720174491405487,0.20556187629699707,0.2521503269672394,0.2592836320400238,0.25140029191970825,0.23407873511314392,0.21169714629650116,0.2792394757270813,0.3070593774318695,0.3102812170982361,0.297631174325943,0.27501899003982544,0.2854294180870056,0.3254900276660919,0.3390738070011139,0.33171215653419495,0.31080904603004456
ABW_3,Aruba (Neth),533,Mangroves,14,4156.404882794118,0.2710093851142292,0.2984104600699642,0.30265411649700963,0.2907592585381073,0.26897527447229697,0.01194299159341692,0.01977307336733639,0.02500104028749589,0.02737970725935595,0.0275789231123217,0.27026297790663584,0.2980090081691742,0.3024056740105152,0.2906209925810496,0.2687084823846817,0.2372599095106125,0.24326260387897491,0.23540420830249784,0.21888113021850583,0.1977519989013672,0.311513751745224,0.3615039587020874,0.3787597119808197,0.3718647062778473,0.3492986559867859,0.2579530080159505,0.2741009071469307,0.271889291703701,0.25633422533671063,0.2339189996321996,0.26333187023798627,0.28477174043655396,0.28621678551038104,0.2740475177764893,0.25155429542064667,0.2767336964607239,0.3118057921528816,0.32307089439460207,0.31099748611450195,0.28958598524332047,0.28634674350420636,0.3243192235628764,0.33109813928604126,0.32487836480140686,0.30238041281700134
ABW_4,Aruba (Neth),533,Tropical & Subtropical Dry Broadleaf Forests,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG_0,Afghanistan,4,Montane Grasslands & Shrublands,10,3659826.5429919865,0.3415374140477663,0.41419855468107497,0.4046556171233643,0.35580096695474217,0.2959577878187307,0.17894010605805857,0.25982251401728823,0.25411029042548317,0.2109151305746502,0.1615949548418711,0.3027683600917248,0.33982273657910467,0.3320439144675218,0.3066033415153436,0.2597791379070963,0.06352526694536209,0.0673535019159317,0.06411951780319214,0.0589277520775795,0.05278461053967476,0.8370811939239502,1.2587602138519287,1.1817296743392944,1.0371447801589966,0.8870698809623718,0.13480955400178588,0.13720748182904782,0.13681230734328967,0.12699693386026992,0.11527214968157966,0.19337576082691713,0.2070393816400797,0.1994005943044097,0.19332779594840604,0.17384067406954123,0.4902999890398488,0.5897808584902021,0.5663093217869395,0.4902951241138592,0.38076328677671584,0.5995899934684281,0.8241620816930926,0.8008396261154789,0.6893229335061114,0.5527752170552446
AFG_1,Afghanistan,4,N/A,11,12106.966590122547,0.47944611292096634,0.5711351833954642,0.505971127390107,0.39315681442429745,0.2859383947392808,0.04194335129733941,0.07994670710021523,0.061999252892734,0.04082860519691298,0.03505757005536149,0.4775855056941509,0.5519313216209412,0.49151334166526794,0.384512759745121,0.2800444761912028,0.34305575489997864,0.3759661316871643,0.35268768668174744,0.30329570174217224,0.21758250892162323,0.5708484649658203,0.7928217649459839,0.7137927412986755,0.5519810914993286,0.39132270216941833,0.4222070351243019,0.4835950553417206,0.44856723546981814,0.35223713517189026,0.2447027772665024,0.45213066786527634,0.5204105973243713,0.46992237369219464,0.36681029945611954,0.25923046469688416,0.5069355443120003,0.613203376531601,0.5193930268287659,0.41112856566905975,0.308987428744634,0.5377176105976105,0.6860898931821188,0.5980502963066101,0.4478389024734497,0.3386439383029938
AFG_2,Afghanistan,4,Deserts & Xeric Shrublands,13,6579213.833705393,0.1287269022524709,0.14865584467838985,0.15165506117021585,0.14414735579361135,0.13119952401047147,0.10137773724170795,0.12453699029506028,0.11907630579592962,0.10082150245870353,0.08043011543472268,0.09578178749837722,0.10522254516448622,0.112403689819895,0.11145950025245444,0.10783883896184182,0.05578591302037239,0.06311988830566406,0.05974876880645752,0.05468706041574478,0.04883800819516182,0.8477843999862671,1.261017918586731,1.1898595094680786,0.9909130334854126,0.8427713513374329,0.06861323944326868,0.0825692065123269,0.08921999256625258,0.08716955852569912,0.08059164240003668,0.0722559690807525,0.0902264924440953,0.09770666237629456,0.0994151020898294,0.09165058602558863,0.1308333420803341,0.14463294653866396,0.1523841308592187,0.1466585408636319,0.13475473953173617,0.2206855869397664,0.23818805836842513,0.2303388738663683,0.21670928558437977,0.1933314806992392
AFG_3,Afghanistan,4,Tropical & Subtropical Coniferous Forests,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG_4,Afghanistan,4,Temperate Broadleaf & Mixed Forests,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
