system:index,biome_id,eco_id,max_age,max_rate,mean_age,mean_rate,median_age,median_rate,min_age,min_rate,p5_age,p5_rate,p95_age,p95_rate,sdtDev_age,stdDev_rate,.geo
0,5.0,0,34,1.07122802734375,34.0,1.07122802734375,34.0,1.07122802734375,34,1.07122802734375,34.0,1.07122802734375,34.0,1.07122802734375,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0,1,51,2.111621856689453,22.191402453439807,1.1861137105780493,21.0,1.1679811937058218,10,0.4480743408203125,15.0,0.7462532377462783,32.0,1.6600411173502605,5.854003938011551,0.2817758482835073,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.0,2,36,2.436328887939453,20.757535495636315,1.8835359201435,20.0,1.972632381865812,14,0.9632606506347656,18.0,1.1442017793655395,25.0,2.1913983957554266,2.061414640639564,0.293505487370804,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.0,3,36,1.7787017822265625,14.235801322016437,1.2456896779308932,14.0,1.2539061708669292,2,0.7146759033203125,9.0,0.8788089268157129,19.0,1.5899097013428989,3.187104370684503,0.21745190353759916,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.0,4,40,2.067625045776367,24.04003859141341,1.5870141205555335,24.0,1.7463938903808593,17,0.9289741516113281,19.0,0.9886194142428312,30.0,1.964338414809283,3.546376421037076,0.3429706054580947,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.0,5,39,2.31103515625,23.604185032491014,1.4801411214378721,24.0,1.4882659673690797,3,0.6999721527099609,15.0,0.8395650192748668,31.0,2.0197268945801197,4.641000001199551,0.303306533261161,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.0,6,27,2.1996726989746094,19.78047493403694,1.9341024804612834,20.0,1.9551977177256161,16,1.5288410186767578,18.0,1.6856297713059645,22.0,2.1230905341189446,1.397998317132866,0.14393247924128583,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0,7,30,2.8141441345214844,21.42873796055649,2.054944215282317,21.0,2.066420453485298,13,1.6473102569580078,19.0,1.8164384644607017,26.0,2.222752439058744,2.127968505172693,0.12490146878789375,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0,8,52,2.0859756469726562,24.972110399020966,1.1388433093452779,24.0,1.2070171090791808,10,0.22399282455444336,18.0,0.4416200837423635,35.0,1.785274640888187,5.688611917604719,0.41673598132816775,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0,9,49,1.7518463134765625,23.80548894217959,1.1309793589858201,24.0,1.1132251557849702,12,0.3510751724243164,15.0,0.6289223262241909,32.0,1.6207702403165856,5.465781618315749,0.3077980182203018,"{""type"":""MultiPoint"",""coordinates"":[]}"
