system:index,agc,age,biome,ecoregion,rate,stdev_agc,stdev_age,stdev_rate,.geo
0,44.84184102489159,22.191923122472804,1.0,1,1.1856889937440709,8.669190101300899,5.846738288364523,0.2818773576786546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,54.31659920814995,20.762188831576587,1.0,2,1.8827526495044449,8.150284548139242,2.070111367970954,0.2946102783237051,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,48.103443603507735,14.237986653561636,1.0,3,1.2456063224046947,3.3583607395848087,3.1880209967159137,0.21753752010555208,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,51.31397907618131,24.316908897554057,1.0,4,1.5509595292884801,7.366499357353968,3.624687898335366,0.34728003701270355,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,62.46803347471127,23.6066348788578,1.0,5,1.479933072703525,7.06060486966824,4.640399446502631,0.30362580391571004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,55.19424859409761,19.787896301188905,1.0,6,1.934261143522502,3.573391418492857,1.4081217145527054,0.14360413331934205,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,61.40401507550817,21.439969866199373,1.0,7,2.055173021824657,4.983125915693895,2.13064385662383,0.1248504970152458,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,40.1333022676918,24.96945516112021,1.0002497987732104,8,1.13874666325347,8.491558893500505,5.686758373557569,0.4178218336219855,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,42.77538088580814,23.803413593416643,1.0,9,1.1317333388859017,6.809114900789085,5.451252530427188,0.30728302638755056,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,48.28600616322444,15.476151726433763,1.0,10,1.2992246731198323,3.101125231150093,2.6413704778758915,0.1733632858152915,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,49.075224266920245,25.035640788303063,1.0000269597490945,11,1.0739656741878982,8.914436903159595,8.214642340128217,0.23727923142849408,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,50.54027220887913,25.366419364508392,1.0,12,1.5522505006939769,6.4621816256392,5.539173763478369,0.41975593341092626,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,32.619854459011776,14.00502512562814,1.0,13,1.1772626880025943,1.9598088457303375,1.5291159130645906,0.0412269827542324,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,44.41231954513386,19.89703677452771,1.0,14,1.4757867747128142,5.659807872196986,1.7014925664930907,0.2649710248410582,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,33.80071524101616,38.935906040268456,1.0,15,0.6290137054136136,5.523638476103807,9.90949211719849,0.11177152043949834,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,30.9520715806894,25.65021360499507,1.0,16,0.833309385441966,2.399582621480828,3.430909916562724,0.10790196098980362,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,53.671191950633656,23.87012846887543,1.0,17,1.8889906993368268,5.790041889136343,2.6439260736641703,0.27502974795897434,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,38.694482272979215,24.048757762717084,1.0,18,1.1630851689061787,5.105973627440216,7.204408078403144,0.2995649159499038,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,28.07302260493511,36.8809830842752,1.0001517105362967,19,0.5130937180056964,3.8646314536001047,5.793362693342815,0.12836902303303344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,47.32971381045616,22.330642657559764,1.0,20,1.5845374682052504,4.957114848887786,3.2952783826662335,0.34484458576550187,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,68.33588663356555,24.895287958115183,1.0,21,2.4483287157901827,3.192118325495511,1.2860625390131284,0.22628397291299415,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,61.380077985384474,22.840329169380144,1.0,22,2.106778319355833,4.736874507812012,2.2958191783323203,0.09630436604349996,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,46.740158198173006,17.767913639930143,1.0,23,1.513309551198365,5.941223064683831,2.3949362917044867,0.3020206302190947,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,49.30905259904497,17.206066140325735,1.0,24,1.1994108356998099,4.164155532134269,4.060687355138396,0.20343136392545072,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,27.67330759655481,32.96185469183754,1.0,25,0.5388396280035724,8.253714733206749,8.43937661944062,0.2848498409707734,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,57.127889113418775,20.682060681955996,1.0,26,1.1506725265498017,6.656452818536654,7.159310976003035,0.1655751432413999,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,60.05181296108759,24.091374269005847,1.0,27,1.8190970086214835,3.548348236331787,1.7481212315761954,0.23347814119044366,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,35.956187315665034,33.28403648125449,1.000032398982672,28,0.7248755878933566,6.202938936672047,6.538969579817381,0.2195246530059971,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,48.313908935189055,15.998331653864891,1.0,29,1.2531858008301926,4.514248859959398,3.8445708367810507,0.16485074688029844,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,56.492487779815896,20.968999821980816,1.0,30,1.8940071677386985,4.62286598127328,2.312536962034247,0.3055158519804219,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,24.675754691164514,42.40994910523724,2.0,31,0.37005689449056656,3.366991926299507,4.822824324332557,0.050457674531942,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,36.41137051607539,22.2854992152215,2.0,32,1.040798556106256,2.528522516093487,3.6717069105084565,0.08754033899484957,"{""type"":""MultiPoint"",""coordinates"":[]}"
